PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,AIRLINE_ID,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0,35,2,853,DL,19790,19790,1260,D,DL,Delta Air Lines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91,2017,2,6,2,F
0,0,113,495,DL,19790,19790,1260,D,DL,Delta Air Lines Inc.,3,3,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,1,F
0,0,0,1671,GL,20402,20402,6690,D,GL,Miami Air International,2,2,10529,1052904,30529,BDL,"Hartford, CT",CT,9,Connecticut,11,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,4,L
0,0,0,1136,GL,20402,20402,6690,D,GL,Miami Air International,2,2,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,16091,1609103,31295,YIP,"Detroit, MI",MI,26,Michigan,43,2017,2,6,3,L
0,0,0,150,UA,19977,19977,0A875,D,UA,United Air Lines Inc.,3,3,10558,1055803,30558,BFF,"Scottsbluff, NE",NE,31,Nebraska,65,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,1,F
0,0,0,967,UA,19977,19977,0A875,D,UA,United Air Lines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12448,1244805,32448,JAN,"Jackson/Vicksburg, MS",MS,28,Mississippi,53,2017,2,6,2,F
0,0,0,1709,UA,19977,19977,0A875,D,UA,United Air Lines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,2017,2,6,4,F
0,0,0,1413,UA,19977,19977,0A875,D,UA,United Air Lines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14576,1457604,34576,ROC,"Rochester, NY",NY,36,New York,22,2017,2,6,3,F
0,0,0,1014,UA,19977,19977,0A875,D,UA,United Air Lines Inc.,3,3,13256,1325602,33256,MFE,"Mission/McAllen/Edinburg, TX",TX,48,Texas,74,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,3,F
0,0,0,967,UA,19977,19977,10877,P,UA,United Air Lines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14771,1477102,32457,SFO,"San Francisco, CA",CA,6,California,91,2017,2,6,2,F
0,0,0,903,27Q,21652,21652,1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2017,2,6,2,L
0,0,0,1166,27Q,21652,21652,1194,D,27Q,"Jet Aviation Flight Services, Inc.",1,1,11066,1106603,31066,CMH,"Columbus, OH",OH,39,Ohio,44,10325,1032504,30325,APA,"Denver, CO",CO,8,Colorado,82,2017,2,6,3,L
0,35960,0,160,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,10140,1014003,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11413,1141304,30285,DRO,"Durango, CO",CO,8,Colorado,82,2017,2,6,1,G
0,738980,0,626,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,10194,1019403,30194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,2,G
0,125368,0,207,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,11921,1192102,31921,GJT,"Grand Junction, CO",CO,8,Colorado,82,2017,2,6,1,G
0,576847,0,854,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,13244,1324402,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,2017,2,6,2,G
0,38466,0,172,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11122,1112203,31122,CPR,"Casper, WY",WY,56,Wyoming,88,12094,1209402,34699,HDN,"Hayden, CO",CO,8,Colorado,82,2017,2,6,1,G
0,620058,0,626,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,10194,1019403,30194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2017,2,6,2,G
0,39954,0,455,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,10620,1062002,30620,BIL,"Billings, MT",MT,30,Montana,84,2017,2,6,1,G
0,16753,0,641,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2017,2,6,2,G
0,67964,0,563,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11540,1154003,30615,ELP,"El Paso, TX",TX,48,Texas,74,2017,2,6,2,G
0,2591148,0,977,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12339,1233904,32337,IND,"Indianapolis, IN",IN,18,Indiana,42,2017,2,6,2,G
0,50142,0,533,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64,2017,2,6,2,G
0,4438618,0,872,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,13244,1324402,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,2017,2,6,2,G
0,23383,0,1062,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,13495,1349503,33495,MSY,"New Orleans, LA",LA,22,Louisiana,72,2017,2,6,3,G
0,147267,0,957,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,13796,1379604,32457,OAK,"Oakland, CA",CA,6,California,91,2017,2,6,2,G
0,47075,0,391,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2017,2,6,1,G
0,42470,0,639,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,15376,1537602,30436,TUS,"Tucson, AZ",AZ,4,Arizona,81,2017,2,6,2,G
0,40799,0,160,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11413,1141304,30285,DRO,"Durango, CO",CO,8,Colorado,82,10140,1014003,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,2017,2,6,1,G
0,147172,0,632,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11638,1163805,31638,FAT,"Fresno, CA",CA,6,California,91,11921,1192102,31921,GJT,"Grand Junction, CO",CO,8,Colorado,82,2017,2,6,2,G
0,20720,0,40,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11711,1171102,31711,FMN,"Farmington, NM",NM,35,New Mexico,86,11413,1141304,30285,DRO,"Durango, CO",CO,8,Colorado,82,2017,2,6,1,G
0,66319,0,207,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11921,1192102,31921,GJT,"Grand Junction, CO",CO,8,Colorado,82,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,2017,2,6,1,G
0,298062,0,632,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11921,1192102,31921,GJT,"Grand Junction, CO",CO,8,Colorado,82,11638,1163805,31638,FAT,"Fresno, CA",CA,6,California,91,2017,2,6,2,G
0,321148,0,1061,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11921,1192102,31921,GJT,"Grand Junction, CO",CO,8,Colorado,82,13244,1324402,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,2017,2,6,3,G
0,42190,0,216,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,11921,1192102,31921,GJT,"Grand Junction, CO",CO,8,Colorado,82,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2017,2,6,1,G
0,11749,0,172,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,12094,1209402,34699,HDN,"Hayden, CO",CO,8,Colorado,82,11122,1112203,31122,CPR,"Casper, WY",WY,56,Wyoming,88,2017,2,6,1,G
0,3070659,0,977,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,12339,1233904,32337,IND,"Indianapolis, IN",IN,18,Indiana,42,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,2,G
0,114987,0,533,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,13198,1319801,33198,MCI,"Kansas City, MO",MO,29,Missouri,64,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,2,G
0,824702,0,854,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,13244,1324402,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82,2017,2,6,2,G
0,7527700,0,872,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,13244,1324402,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,2,G
0,702514,0,1061,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,13244,1324402,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,11921,1192102,31921,GJT,"Grand Junction, CO",CO,8,Colorado,82,2017,2,6,3,G
0,571138,0,957,FX,20107,20107,6200,D,FX,Federal Express Corporation,3,3,13796,1379604,32457,OAK,"Oakland, CA",CA,6,California,91,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2017,2,6,2,G
0,0,0,628,X9,20377,20377,16736,I,X9,Omni Air International LLC,2,2,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,2017,2,6,2,L
0,0,0,1120,09Q,21161,21161,1130,D,09Q,"Swift Air, LLC",1,1,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,14275,1427502,34275,PTK,"Pontiac, MI",MI,26,Michigan,43,2017,2,6,3,L
